number,base,category,dry_run_action,title,url,reason
1677,main,CLOSE_CANDIDATE,WOULD_CLOSE,Add edge-case tests: RAG prewarm failure and voice websocket import fallback,https://github.com/niluferbagevi-gif/Sidar/pull/1677,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1705,main,CLOSE_CANDIDATE,WOULD_CLOSE,Add ruff static lint quality gate to test runner and improve asyncpg stubs in DB tests,https://github.com/niluferbagevi-gif/Sidar/pull/1705,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1707,main,CLOSE_CANDIDATE,WOULD_CLOSE,"Add bulk DB insert helpers and optimize GPU benchmark tests (client reuse, configurable VRAM sampling)",https://github.com/niluferbagevi-gif/Sidar/pull/1707,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1710,main,CLOSE_CANDIDATE,WOULD_CLOSE,Improve run_tests.sh benchmark phase reliability with fail-fast and timeout controls,https://github.com/niluferbagevi-gif/Sidar/pull/1710,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1711,main,CLOSE_CANDIDATE,WOULD_CLOSE,Stabilize concurrent message token order assertions,https://github.com/niluferbagevi-gif/Sidar/pull/1711,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1725,main,CLOSE_CANDIDATE,WOULD_CLOSE,test: remove unreachable Kafka missing-dependency test from event_stream,https://github.com/niluferbagevi-gif/Sidar/pull/1725,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1732,main,CLOSE_CANDIDATE,WOULD_CLOSE,"DLQ JSONL batching, SQLite concurrency/retries, shared budget trackers, and async browser action wrappers",https://github.com/niluferbagevi-gif/Sidar/pull/1732,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1737,main,CLOSE_CANDIDATE,WOULD_CLOSE,docs: add test results analysis and improvement recommendations (2026-04-26),https://github.com/niluferbagevi-gif/Sidar/pull/1737,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1752,main,CLOSE_CANDIDATE,WOULD_CLOSE,Refactor OpenAI-compatible SSE stream parsing,https://github.com/niluferbagevi-gif/Sidar/pull/1752,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1781,main,CLOSE_CANDIDATE,WOULD_CLOSE,Use temporary module directory for standalone installer helper download,https://github.com/niluferbagevi-gif/Sidar/pull/1781,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1782,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix F401 by removing unused `runpy` import in github_upload tests,https://github.com/niluferbagevi-gif/Sidar/pull/1782,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1784,main,CLOSE_CANDIDATE,WOULD_CLOSE,run_tests.sh: add local Ruff auto-fix before lint gate,https://github.com/niluferbagevi-gif/Sidar/pull/1784,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1785,main,CLOSE_CANDIDATE,WOULD_CLOSE,run_tests: auto-fix Ruff findings before quality gate checks,https://github.com/niluferbagevi-gif/Sidar/pull/1785,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1795,main,CLOSE_CANDIDATE,WOULD_CLOSE,Remove mypy remediation attempt cap and add 99% success heuristic,https://github.com/niluferbagevi-gif/Sidar/pull/1795,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1796,main,CLOSE_CANDIDATE,WOULD_CLOSE,Relax mypy remediation attempts and add 99% success threshold,https://github.com/niluferbagevi-gif/Sidar/pull/1796,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1847,main,CLOSE_CANDIDATE,WOULD_CLOSE,Fix mypy attr-defined error in supervisor delegation compatibility shim,https://github.com/niluferbagevi-gif/Sidar/pull/1847,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1853,main,CLOSE_CANDIDATE,WOULD_CLOSE,Embed mypy quick-fix guidance into self-heal retry diagnosis,https://github.com/niluferbagevi-gif/Sidar/pull/1853,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
1858,main,CLOSE_CANDIDATE,WOULD_CLOSE,Suppress Bandit false-positives with targeted `# nosec` annotations,https://github.com/niluferbagevi-gif/Sidar/pull/1858,Prior stale-PR triage closure candidate; no mutation performed in this dry-run.
