number,manifest_category,manifest_action,base,title,url,live_state,merged,closed_at,updated_at,rationale_comment_author,rationale_comment_created_at,rationale_comment_url,close_actor,close_event_created_at,reconciliation_result,anomaly_reason
1677,CLOSE_CANDIDATE,WOULD_CLOSE,main,Add edge-case tests: RAG prewarm failure and voice websocket import fallback,https://github.com/niluferbagevi-gif/Sidar/pull/1677,CLOSED,false,2026-09-16T23:38:09Z,2026-09-16T23:38:09Z,niluferbagevi-gif,2026-09-16T23:38:08Z,https://github.com/niluferbagevi-gif/Sidar/pull/1677#issuecomment-5706147062,niluferbagevi-gif,2026-09-16T23:38:09Z,CLOSED_VERIFIED,
1705,CLOSE_CANDIDATE,WOULD_CLOSE,main,Add ruff static lint quality gate to test runner and improve asyncpg stubs in DB tests,https://github.com/niluferbagevi-gif/Sidar/pull/1705,CLOSED,false,2026-09-16T23:38:13Z,2026-09-16T23:38:13Z,niluferbagevi-gif,2026-09-16T23:38:12Z,https://github.com/niluferbagevi-gif/Sidar/pull/1705#issuecomment-5706147744,niluferbagevi-gif,2026-09-16T23:38:13Z,CLOSED_VERIFIED,
1707,CLOSE_CANDIDATE,WOULD_CLOSE,main,"Add bulk DB insert helpers and optimize GPU benchmark tests (client reuse, configurable VRAM sampling)",https://github.com/niluferbagevi-gif/Sidar/pull/1707,CLOSED,false,2026-09-16T23:38:16Z,2026-09-16T23:38:16Z,niluferbagevi-gif,2026-09-16T23:38:15Z,https://github.com/niluferbagevi-gif/Sidar/pull/1707#issuecomment-5706148277,niluferbagevi-gif,2026-09-16T23:38:16Z,CLOSED_VERIFIED,
1710,CLOSE_CANDIDATE,WOULD_CLOSE,main,Improve run_tests.sh benchmark phase reliability with fail-fast and timeout controls,https://github.com/niluferbagevi-gif/Sidar/pull/1710,CLOSED,false,2026-09-16T23:38:19Z,2026-09-16T23:38:19Z,niluferbagevi-gif,2026-09-16T23:38:19Z,https://github.com/niluferbagevi-gif/Sidar/pull/1710#issuecomment-5706148999,niluferbagevi-gif,2026-09-16T23:38:19Z,CLOSED_VERIFIED,
1711,CLOSE_CANDIDATE,WOULD_CLOSE,main,Stabilize concurrent message token order assertions,https://github.com/niluferbagevi-gif/Sidar/pull/1711,OPEN,false,,2026-08-23T02:33:16Z,,,,,,SKIPPED_OPEN,
1725,CLOSE_CANDIDATE,WOULD_CLOSE,main,test: remove unreachable Kafka missing-dependency test from event_stream,https://github.com/niluferbagevi-gif/Sidar/pull/1725,CLOSED,false,2026-09-16T23:38:22Z,2026-09-16T23:38:22Z,niluferbagevi-gif,2026-09-16T23:38:22Z,https://github.com/niluferbagevi-gif/Sidar/pull/1725#issuecomment-5706149569,niluferbagevi-gif,2026-09-16T23:38:22Z,CLOSED_VERIFIED,
1732,CLOSE_CANDIDATE,WOULD_CLOSE,main,"DLQ JSONL batching, SQLite concurrency/retries, shared budget trackers, and async browser action wrappers",https://github.com/niluferbagevi-gif/Sidar/pull/1732,CLOSED,false,2026-09-16T23:38:26Z,2026-09-16T23:38:26Z,niluferbagevi-gif,2026-09-16T23:38:25Z,https://github.com/niluferbagevi-gif/Sidar/pull/1732#issuecomment-5706150231,niluferbagevi-gif,2026-09-16T23:38:26Z,CLOSED_VERIFIED,
1737,CLOSE_CANDIDATE,WOULD_CLOSE,main,docs: add test results analysis and improvement recommendations (2026-04-26),https://github.com/niluferbagevi-gif/Sidar/pull/1737,OPEN,false,,2026-08-23T02:33:16Z,,,,,,SKIPPED_OPEN,
1752,CLOSE_CANDIDATE,WOULD_CLOSE,main,Refactor OpenAI-compatible SSE stream parsing,https://github.com/niluferbagevi-gif/Sidar/pull/1752,CLOSED,false,2026-09-16T23:38:29Z,2026-09-16T23:38:29Z,niluferbagevi-gif,2026-09-16T23:38:28Z,https://github.com/niluferbagevi-gif/Sidar/pull/1752#issuecomment-5706150704,niluferbagevi-gif,2026-09-16T23:38:29Z,CLOSED_VERIFIED,
1781,CLOSE_CANDIDATE,WOULD_CLOSE,main,Use temporary module directory for standalone installer helper download,https://github.com/niluferbagevi-gif/Sidar/pull/1781,CLOSED,false,2026-09-16T23:38:32Z,2026-09-16T23:38:32Z,niluferbagevi-gif,2026-09-16T23:38:31Z,https://github.com/niluferbagevi-gif/Sidar/pull/1781#issuecomment-5706151306,niluferbagevi-gif,2026-09-16T23:38:32Z,CLOSED_VERIFIED,
1782,CLOSE_CANDIDATE,WOULD_CLOSE,main,Fix F401 by removing unused `runpy` import in github_upload tests,https://github.com/niluferbagevi-gif/Sidar/pull/1782,CLOSED,false,2026-09-16T23:38:35Z,2026-09-16T23:38:35Z,niluferbagevi-gif,2026-09-16T23:38:34Z,https://github.com/niluferbagevi-gif/Sidar/pull/1782#issuecomment-5706151848,niluferbagevi-gif,2026-09-16T23:38:35Z,CLOSED_VERIFIED,
1784,CLOSE_CANDIDATE,WOULD_CLOSE,main,run_tests.sh: add local Ruff auto-fix before lint gate,https://github.com/niluferbagevi-gif/Sidar/pull/1784,CLOSED,false,2026-09-16T23:38:37Z,2026-09-16T23:38:37Z,niluferbagevi-gif,2026-09-16T23:38:37Z,https://github.com/niluferbagevi-gif/Sidar/pull/1784#issuecomment-5706152414,niluferbagevi-gif,2026-09-16T23:38:37Z,CLOSED_VERIFIED,
